,UniProtID,Symbol,FullName,GOIDs,Tissues
25,A6NIH7,UNC119B,Protein unc-119 homolog B,"['GO:0035869', 'GO:0005929', 'GO:0005829', 'GO:0008289', 'GO:0060271', 'GO:0042953', 'GO:0007399']","['Uterus', 'Placenta', 'Liver']"
26,A6NIZ0,NDEL1,Nuclear distribution protein nudE-like 1,"['GO:0007100', 'GO:0007399', 'GO:0060052', 'GO:2000574']",[]
27,A6NKE1,TRAPPC3,Trafficking protein particle complex subunit 3,"['GO:0030008', 'GO:0048193']",[]
28,A6NP11,ZNF716,Zinc finger protein 716,"['GO:0005634', 'GO:0003677', 'GO:0000981', 'GO:0046872']",['Testis']
29,A7E2F4,GOLGA8A,Golgin subfamily A member 8A,"['GO:0005801', 'GO:0005829', 'GO:0005794', 'GO:0000137', 'GO:0032580', 'GO:0007030']","['Brain', 'Brain', 'Liver']"
30,A8KAJ9,TYW5,cDNA FLJ78342,"['GO:0016706', 'GO:0000049', 'GO:0031591']",['Uterus']
31,A8MQB8,FMR1,Synaptic functional regulator FMR1,"['GO:0005829', 'GO:0003729', 'GO:0006417']",[]
32,A8MQT2,GOLGA8B,Golgin subfamily A member 8B,"['GO:0005801', 'GO:0005829', 'GO:0005794', 'GO:0000137', 'GO:0032580', 'GO:0007030']","['Leukemic T-cell', 'Brain']"
33,A8MT92,GRIA2,Glutamate receptor 2,"['GO:0032281', 'GO:0030054', 'GO:0030425', 'GO:0043197', 'GO:0030666', 'GO:0005789', 'GO:0060076', 'GO:0009897', 'GO:0005887', 'GO:0005886', 'GO:0098794', 'GO:0014069', 'GO:0098843', 'GO:0045211', 'GO:0004971', 'GO:0001540', 'GO:0004970', 'GO:0007268', 'GO:0035235', 'GO:0007165', 'GO:0035249']","['Brain', 'Brain']"
34,A8MTY0,ZNF724,Zinc finger protein 724,"['GO:0005634', 'GO:0003677', 'GO:0000981', 'GO:0046872']",['Spleen']
35,A8MUA9,SUMO3,"SMT3 suppressor of mif two 3 homolog 3 (Yeast), isoform CRA_d",['GO:0016925'],[]
36,A8MUE8,PHF20L1,PHD finger protein 20-like protein 1,"['GO:0005634', 'GO:0006355']",[]
37,A8MVM1,CASP3,Caspase-3,['GO:0004197'],[]
38,A8MXV4,NUDT19,Nucleoside diphosphate-linked moiety X motif 19,"['GO:0005829', 'GO:0005782', 'GO:0047617', 'GO:0046872', 'GO:0005102', 'GO:0009062', 'GO:0006625']",['Erythroleukemia']
39,A8MZH8,PTTG1IP,Pituitary tumor-transforming gene 1 protein-interacting protein,['GO:0005654'],[]
40,A9YTQ3,AHRR,Aryl hydrocarbon receptor repressor,"['GO:0005829', 'GO:0005654', 'GO:0003677', 'GO:0000981', 'GO:0046983', 'GO:0000122', 'GO:0045944', 'GO:0009410', 'GO:0006805']",['Brain']
41,B1AKI6,MBNL3,Muscleblind-like protein 3,['GO:0046872'],[]
42,B2RTY4,MYO9A,Unconventional myosin-IXa,"['GO:0005829', 'GO:0016021', 'GO:0016461', 'GO:0003779', 'GO:0005524', 'GO:0005096', 'GO:0046872', 'GO:0003774', 'GO:0008218', 'GO:0034329', 'GO:0045198', 'GO:0035556', 'GO:0051056', 'GO:0007601']","['Placenta', 'Brain', 'Testis', 'Ovary', 'Placenta', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia', 'Liver']"
43,B2RXF5,ZBTB42,Zinc finger and BTB domain-containing protein 42,"['GO:0005737', 'GO:0005654', 'GO:0005634', 'GO:0005886', 'GO:0003677', 'GO:0000981', 'GO:0046872', 'GO:0006974', 'GO:0007517', 'GO:0000122']","['Brain', 'Brain cortex']"
44,B3KRH5,NA,"cDNA FLJ34267 fis, clone FEBRA2002707, highly similar to Zinc finger protein 585B",['GO:0003676'],['Brain']
45,B3KS98,EIF3H,Eukaryotic translation initiation factor 3 subunit H,"['GO:0016282', 'GO:0033290', 'GO:0005852', 'GO:0003743', 'GO:0001732']",['Testis']
46,B3KSB0,NCBP2,Nuclear cap-binding protein subunit 2,"['GO:0005846', 'GO:0005654', 'GO:0000339', 'GO:0045292']",['Testis']
47,B3KTC7,MRE11,Double-strand break repair protein MRE11,"['GO:0005737', 'GO:0005829', 'GO:0030870', 'GO:0000784', 'GO:0005654', 'GO:0005634', 'GO:0016605', 'GO:0035861', 'GO:0008408', 'GO:0008296', 'GO:0008409', 'GO:0045296', 'GO:0003690', 'GO:0004520', 'GO:0042802', 'GO:0030145', 'GO:0004518', 'GO:0008022', 'GO:0000014', 'GO:0008283', 'GO:0006974', 'GO:0000729', 'GO:0032508', 'GO:0006310', 'GO:0006281', 'GO:0006260', 'GO:0110025', 'GO:0006302', 'GO:0000724', 'GO:0006303', 'GO:0031573', 'GO:0042138', 'GO:0097552', 'GO:0007095', 'GO:0043066', 'GO:0032876', 'GO:0033674', 'GO:0031954', 'GO:0032206', 'GO:0032481', 'GO:0007131', 'GO:0000019', 'GO:0007062', 'GO:0007129', 'GO:0000723', 'GO:0007004', 'GO:0031860', 'GO:0016032']","['Tongue', 'Brain', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma', 'Erythroleukemia', 'Liver']"
48,B3KUS5,USP30,Ubiquitin carboxyl-terminal hydrolase 30,"['GO:0016021', 'GO:0036459', 'GO:0016579', 'GO:0006511']",['Testis']
49,B4DF73,NA,cDNA FLJ57349,"['GO:0005739', 'GO:0043024', 'GO:0019843', 'GO:0032543']",['Cerebellum']
50,B4DFY1,NA,"cDNA FLJ53730, highly similar to Clusterin-associated protein 1",[],['Amygdala']
51,B4DGD8,GAPVD1,GTPase-activating protein and VPS9 domain-containing protein 1,"['GO:0043087', 'GO:0007165']",['Amygdala']
52,B4DGP8,CANX,Calnexin,"['GO:0030424', 'GO:0032839', 'GO:0043197', 'GO:0005783', 'GO:0005788', 'GO:0005789', 'GO:0044322', 'GO:0070062', 'GO:0098978', 'GO:0071556', 'GO:0099055', 'GO:0099059', 'GO:0042470', 'GO:0016020', 'GO:0044233', 'GO:0043025', 'GO:0005840', 'GO:0005791', 'GO:0005790', 'GO:0034185', 'GO:0005509', 'GO:0030246', 'GO:0035255', 'GO:0003723', 'GO:0051082', 'GO:0007568', 'GO:0019886', 'GO:0002474', 'GO:0072583', 'GO:0070106', 'GO:0070757', 'GO:0006457', 'GO:0034975', 'GO:0009306', 'GO:0048488']","['Lymph', 'Placenta', 'Keratinocyte', 'Fibroblast', 'Brain', 'Cerebellum', 'Trachea', 'Placenta', 'B-cell lymphoma', 'Keratinocyte', 'Melanoma', 'Cervix carcinoma', 'Melanoma', 'Platelet', 'Cervix carcinoma', 'Cervix carcinoma', 'Liver', 'Leukemic T-cell', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia', 'Liver']"
53,B4DL80,NA,"cDNA FLJ57525, highly similar to Cell division cycle protein 27 homolog",['GO:0051301'],['Tongue']
54,B4DMV3,IAH1,Isoamyl acetate-hydrolyzing esterase 1 homolog,"['GO:0016788', 'GO:0016042']","['Brain', 'Small intestine', 'Brain', 'Liver']"
55,B4DN60,NA,"cDNA FLJ52703, highly similar to Asparaginyl-tRNA synthetase, cytoplasmic (EC6.1.1.22)","['GO:0004812', 'GO:0005524', 'GO:0006418']",[]
56,B4DPZ9,DNM1L,Dynamin-1-like protein,"['GO:0005525', 'GO:0003924', 'GO:0000266', 'GO:0016559']",[]
57,B4DRE9,NA,"cDNA FLJ57423, highly similar to Ribonucleoprotein PTB-binding 2",['GO:0019013'],[]
58,B4DS49,NA,"cDNA FLJ60845, highly similar to Telomere-associated protein RIF1",[],['Brain']
59,B4DSD4,NA,cDNA FLJ58856,[],['Brain']
60,B4DTW6,KBTBD8,Kelch repeat and BTB domain-containing protein 8,"['GO:0031463', 'GO:0005829', 'GO:0005794', 'GO:0005819', 'GO:0014032', 'GO:0014029', 'GO:0043687', 'GO:0006513', 'GO:0006417']","['Fetal brain', 'Placenta', 'T-cell', 'Lung', 'Brain']"
61,B4DUA0,LCP1,Plastin-2,"['GO:0015629', 'GO:0005884', 'GO:0032432', 'GO:0030054', 'GO:0005737', 'GO:0005829', 'GO:0070062', 'GO:0005615', 'GO:0030175', 'GO:0005925', 'GO:0001891', 'GO:0005886', 'GO:0002102', 'GO:0001726', 'GO:0032587', 'GO:0003779', 'GO:0051015', 'GO:0005509', 'GO:0051020', 'GO:0042802', 'GO:0005178', 'GO:0051017', 'GO:0051639', 'GO:0031100', 'GO:0016477', 'GO:0022617', 'GO:0035722', 'GO:0071803', 'GO:0010737', 'GO:0033157', 'GO:0002286']","['Amygdala', 'Prostate', 'Lymph', 'Placenta', 'T-cell', 'Lymphoblast', 'T-cell', 'Leukemic T-cell', 'Erythroleukemia', 'Liver']"
62,B4DUB1,NA,"cDNA FLJ50029, highly similar to Cell division cycle 2-like protein kinase 6","['GO:0005524', 'GO:0004672', 'GO:0051301']",['Prostate']
63,B4DUB9,NA,"cDNA FLJ58947, highly similar to Homo sapiens solute carrier family 35, member F2 (SLC35F2), mRNA","['GO:0016021', 'GO:0022857']",[]
64,B4DUD2,TMBIM1,Protein lifeguard 3,['GO:0016021'],[]
65,B4DVB8,ELAVL1,ELAV-like protein 1,"['GO:0005737', 'GO:0010494', 'GO:0005829', 'GO:0098978', 'GO:0016020', 'GO:0005654', 'GO:0005634', 'GO:0098794', 'GO:1990904', 'GO:0017091', 'GO:0003725', 'GO:0035198', 'GO:0035925', 'GO:0003730', 'GO:0003729', 'GO:0042803', 'GO:0019901', 'GO:0003723', 'GO:0070935', 'GO:0000398', 'GO:0048255', 'GO:0007275', 'GO:0060965', 'GO:0045727', 'GO:0051260', 'GO:0043488', 'GO:2000036']","['Small intestine', 'Cervix', 'Lymphoblast', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia', 'Colon carcinoma']"
66,B4DWY8,RBSN,Rabenosyn-5,"['GO:0005829', 'GO:0031901', 'GO:0005768', 'GO:0010008', 'GO:0070062', 'GO:0043231', 'GO:0005886', 'GO:0003676', 'GO:0017137', 'GO:0008270', 'GO:0007596', 'GO:0034498', 'GO:0016197', 'GO:0090160', 'GO:0015031', 'GO:1903358']","['Cervix carcinoma', 'Brain', 'Testis', 'Brain', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia', 'Liver']"
67,B4DZD6,CRY2,Cryptochrome-2,"['GO:0005829', 'GO:0005576', 'GO:0016607', 'GO:0005634', 'GO:0009882', 'GO:0003684', 'GO:0003677', 'GO:0071949', 'GO:0019902', 'GO:0003697', 'GO:0000976', 'GO:0009785', 'GO:0032922', 'GO:0007623', 'GO:0043153', 'GO:0042593', 'GO:0042754', 'GO:2000323', 'GO:0032515', 'GO:0000122', 'GO:0045892', 'GO:0018298', 'GO:0042752', 'GO:2000118', 'GO:0009416']","['Fetal brain', 'Brain', 'Testis', 'Testis', 'Brain']"
68,B4E283,API5,Apoptosis inhibitor 5,"['GO:0005737', 'GO:0016020', 'GO:0016607', 'GO:0005634', 'GO:0005681', 'GO:0017134', 'GO:0003723', 'GO:0006915', 'GO:0043066', 'GO:2000270']","['Liver', 'Brain', 'Trachea', 'Lymph', 'Ovarian carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia', 'Liver', 'Colon carcinoma']"
69,B4E2F0,NUP43,Nucleoporin Nup43,"['GO:0000777', 'GO:0005829', 'GO:0005635', 'GO:0031080', 'GO:0007049', 'GO:0051301', 'GO:0007059', 'GO:0006406', 'GO:0016032']","['Ovarian carcinoma', 'Trachea', 'Testis']"
70,B4E2Q8,ZNF561,Zinc finger protein 561,"['GO:0005634', 'GO:0003677', 'GO:0003700', 'GO:0000981', 'GO:0046872']","['Trachea', 'Colon', 'Skin']"
71,B4E3F4,ITGA5,"cDNA FLJ50382, moderately similar to Integrin alpha-5",['GO:0007229'],['Uterus']
72,B5MCJ1,TTC32,Tetratricopeptide repeat protein 32,[],[]
73,B5MCN0,ATL2,Atlastin-2,"['GO:0016021', 'GO:0005525', 'GO:0003924']",[]
74,B5MCU4,LDAH,Lipid droplet-associated hydrolase,[],[]
75,B6ZDM2,PCNX4,Pecanex-like protein 4,['GO:0016021'],[]
76,B7Z2A7,NA,"cDNA FLJ53837, moderately similar to Homo sapiens acyl-Coenzyme A binding domain containing 5 (ACBD5), mRNA","['GO:0016021', 'GO:0000062']",['Amygdala']
77,B7Z4N8,USP14,Ubiquitin carboxyl-terminal hydrolase 14,"['GO:0009986', 'GO:0031410', 'GO:0005829', 'GO:0070062', 'GO:0005886', 'GO:0000502', 'GO:0045202', 'GO:0004197', 'GO:0004866', 'GO:0070628', 'GO:0004843', 'GO:0036459', 'GO:0008193', 'GO:0007268', 'GO:0045087', 'GO:1903070', 'GO:0016579', 'GO:0050920', 'GO:0061136', 'GO:0006511']","['Placenta', 'Brain', 'Skin', 'T-cell', 'T-cell', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia', 'Liver']"
78,B7Z5P9,ZNF227,Zinc finger protein 227,"['GO:0005634', 'GO:0003677', 'GO:0000981', 'GO:0046872']",['Testis']
79,B8ZZB7,SAMD12,Sterile alpha motif domain-containing protein 12,[],[]
80,B8ZZT4,VAMP8,Vesicle-associated membrane protein 8,"['GO:0016021', 'GO:0016192']",[]
81,B9ZVQ3,MBTPS2,Membrane-bound transcription factor site-2 protease,"['GO:0016021', 'GO:0004222']",[]
82,C1IDX9,ATG12,Ubiquitin-like protein ATG12,"['GO:0005737', 'GO:0000045']","['Testis', 'Testis']"
83,C9IZZ2,NDUFB2,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial",['GO:0005747'],[]
84,C9J082,NPHP1,Nephrocystin-1,['GO:0035869'],[]
85,C9J0V9,ZNF655,Zinc finger protein 655,[],[]
86,C9J4Z0,SLC22A23,Solute carrier family 22 member 23,"['GO:0016021', 'GO:0022857']",[]
87,C9J590,REPIN1,Replication initiator 1,[],[]
88,C9J7E8,MKLN1,Muskelin,[],[]
89,C9J973,NHLRC3,NHL repeat-containing protein 3,[],[]
90,C9JAM5,TBC1D23,TBC1 domain family member 23,"['GO:0005829', 'GO:0042147']",[]
91,C9JBW0,USF3,Basic helix-loop-helix domain-containing protein USF3,"['GO:0046983', 'GO:0006355']",[]
92,C9JHF6,ZNF138,Zinc finger protein 138,"['GO:0003676', 'GO:0006355']",[]
93,C9JI46,LCORL,Ligand-dependent nuclear receptor corepressor-like protein,"['GO:0005634', 'GO:0003677']",[]
94,C9JLC0,FBXO45,F-box/SPRY domain-containing protein 1,[],[]
95,C9JQV6,ATXN3,Ataxin-3,"['GO:0005730', 'GO:0005634', 'GO:0005886', 'GO:0004843', 'GO:0016579']",[]
96,C9JSP0,DONSON,Protein downstream neighbor of Son,[],[]
97,C9JTA6,SMARCB1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1,"['GO:0001650', 'GO:0043231', 'GO:0000228', 'GO:0005654', 'GO:0006338']",[]
98,C9JYI0,MKRN1,E3 ubiquitin-protein ligase makorin-1,['GO:0046872'],[]
99,C9JZR2,CTNND1,Catenin delta-1,"['GO:0005886', 'GO:0045296', 'GO:0098609']",[]
100,C9K074,CBLL1,E3 ubiquitin-protein ligase Hakai,"['GO:0016607', 'GO:0061630']",[]
101,D3YTD3,PEX13,Peroxisomal membrane protein PEX13,[],[]
102,D4A599,Dnah17,"Dynein, axonemal, heavy chain 17","['GO:0030286', 'GO:0005524', 'GO:0008569', 'GO:0045505', 'GO:0045503', 'GO:0051959', 'GO:0007018']",[]
103,E2PSN0,RBM26,RNA-binding protein 26,['GO:0003723'],[]
104,E2QRN4,ZNF326,DBIRD complex subunit ZNF326,[],[]
105,E2QRN5,SMYD5,SET and MYND domain-containing protein 5,[],[]
106,E5KLK1,OPA1,"Dynamin-like 120 kDa protein, mitochondrial","['GO:1904115', 'GO:0005737', 'GO:0005829', 'GO:0030425', 'GO:0031314', 'GO:0016021', 'GO:0016020', 'GO:0030061', 'GO:0005743', 'GO:0005758', 'GO:0031966', 'GO:0005741', 'GO:0005739', 'GO:0005654', 'GO:1901612', 'GO:0005525', 'GO:0003924', 'GO:0019900', 'GO:0000287', 'GO:0008017', 'GO:0070300', 'GO:0006915', 'GO:0019896', 'GO:0036444', 'GO:0071333', 'GO:0071456', 'GO:1905232', 'GO:0090398', 'GO:0090102', 'GO:0003374', 'GO:0046039', 'GO:0007007', 'GO:0048312', 'GO:0061025', 'GO:0097749', 'GO:0000266', 'GO:0008053', 'GO:0000002', 'GO:0070584', 'GO:0007005', 'GO:0043066', 'GO:1902236', 'GO:0090201', 'GO:0061003', 'GO:0046628', 'GO:0010636', 'GO:0014042', 'GO:0051259', 'GO:1904643', 'GO:0051602', 'GO:0014850', 'GO:0060041', 'GO:0007601']","['Brain', 'Brain', 'Liver']"
107,E5KNQ5,TK2,"Thymidine kinase 2, mitochondrial","['GO:0005737', 'GO:0005759', 'GO:0005739', 'GO:0005524', 'GO:0004137', 'GO:0019136', 'GO:0019206', 'GO:0004797', 'GO:0046092', 'GO:0071897', 'GO:0006139', 'GO:0043097', 'GO:0046104']","['Liver', 'Brain', 'Brain', 'Testis']"
108,E5RFX3,WDR6,WD repeat-containing protein 6,[],[]
109,E7EMB1,SWAP70,Switch-associated protein 70,['GO:0005509'],[]
110,E7EMK3,FLOT2,Flotillin-2,[],[]
111,E7EMS3,ST7,Suppressor of tumorigenicity 7 protein,['GO:0016021'],[]
112,E7EN19,MAP4K4,Mitogen-activated protein kinase kinase kinase kinase 4,"['GO:0005524', 'GO:0004672']",[]
113,E7EPP6,CHEK1,Serine/threonine-protein kinase Chk1,"['GO:0000785', 'GO:0043231', 'GO:0005654', 'GO:0005657', 'GO:0005524', 'GO:0035402', 'GO:1902742', 'GO:0048096', 'GO:0000077', 'GO:0006281', 'GO:0000086', 'GO:0001833', 'GO:0007093', 'GO:0006997', 'GO:0042127', 'GO:2000615', 'GO:0010767']",[]
114,E7EPP7,STXBP4,Syntaxin-binding protein 4,[],[]
115,E7EPZ8,SLC7A6,Y+L amino acid transporter 2,"['GO:0016021', 'GO:0043231', 'GO:0005886', 'GO:0022857']",[]
116,E7ER02,EIF2AK3,Eukaryotic translation initiation factor 2-alpha kinase 3,"['GO:0005524', 'GO:0004672']",[]
117,E7ERI8,CLASP2,CLIP-associating protein 2,"['GO:0005829', 'GO:0005794']",[]
118,E7ERR3,HECTD2,Probable E3 ubiquitin-protein ligase HECTD2,['GO:0004842'],[]
119,E7EST6,PKP4,Plakophilin-4,"['GO:0098609', 'GO:0032467', 'GO:0043547']",[]
120,E7ETD6,BPTF,Nucleosome-remodeling factor subunit BPTF,"['GO:0005654', 'GO:0016589', 'GO:0046872', 'GO:0035064']",[]
121,E7EV44,ZNF268,Zinc finger protein 268,"['GO:0003676', 'GO:0006355']",[]
122,E7EVK2,MTG1,Mitochondrial GTPase 1,"['GO:0005743', 'GO:0005525']",[]
123,E7EWR4,CSTF2,Cleavage stimulation factor subunit 2,"['GO:0005847', 'GO:0016604', 'GO:0005654', 'GO:0003723', 'GO:1990090', 'GO:0006378']",[]
124,E9PAP3,CFLAR,CASP8 and FADD-like apoptosis regulator,"['GO:0004197', 'GO:0042981']",[]
125,E9PBH4,EIF4A2,Eukaryotic initiation factor 4A-II,"['GO:0004004', 'GO:0003743']",[]
126,E9PC44,SEC24D,"cDNA FLJ43974 fis, clone TESTI4018101, highly similar to Protein transport protein Sec24D","['GO:0030127', 'GO:0006888', 'GO:0006886']",['Testis']
127,E9PC53,SETD6,N-lysine methyltransferase SETD6,[],[]
128,E9PCS8,MTA3,Metastasis-associated protein MTA3,"['GO:0005634', 'GO:0003682', 'GO:0003677']",[]
129,E9PCW1,GOSR1,Golgi SNAP receptor complex member 1,"['GO:0005801', 'GO:0000139', 'GO:0016021', 'GO:0006888', 'GO:0015031']",[]
130,E9PD56,PXK,PX domain-containing protein kinase-like protein,"['GO:0005829', 'GO:0005815', 'GO:0005886', 'GO:0005524', 'GO:0035091', 'GO:0004672']",[]
131,E9PDX4,SRGAP2,SLIT-ROBO Rho GTPase-activating protein 2,[],[]
132,E9PE85,COMMD1,COMM domain-containing protein 1,['GO:0055070'],[]
133,E9PFF2,TKT,Transketolase,[],[]
134,E9PFF5,FXR1,Fragile X mental retardation syndrome-related protein 1,"['GO:0005829', 'GO:0003729', 'GO:0006417']",[]
135,E9PFZ1,C3orf38,Uncharacterized protein C3orf38,[],[]
136,E9PG19,FCHSD2,F-BAR and double SH3 domains protein 2,[],[]
137,E9PGT3,RPS6KA1,Ribosomal protein S6 kinase,"['GO:0005829', 'GO:0005634', 'GO:0005524', 'GO:0000287', 'GO:0004674', 'GO:0035556']",[]
138,E9PHJ1,PKP4,Plakophilin-4,"['GO:0098609', 'GO:0032467', 'GO:0043547']",[]
139,E9PHV6,SP100,Nuclear autoantigen Sp-100,"['GO:0016604', 'GO:0005634']",[]
140,E9PLF6,PRMT3,Protein arginine N-methyltransferase 3,['GO:0016021'],[]
141,E9PSG1,CAST,Calpastatin,[],[]
142,E9Q3C1,C2cd2,C2 domain-containing protein 2,['GO:0016021'],"['Brain', 'Liver', 'Spleen', 'Liver', 'Brain', 'Kidney', 'Liver', 'Lung', 'Pancreas', 'Spleen']"
143,F2Z2C9,CCNT2,Cyclin-T2,['GO:0006351'],[]
144,F2Z2J0,SETD5,SET domain-containing protein 5,[],[]
145,F2Z2K2,ATF2,Cyclic AMP-dependent transcription factor ATF-2,[],[]
146,F2Z2K6,CCDC66,Coiled-coil domain-containing protein 66,[],[]
147,F2Z2P2,DUSP18,Dual-specificity protein phosphatase 18,"['GO:0005654', 'GO:0017017']",[]
148,F2Z2W4,ASCC2,Activating signal cointegrator 1 complex subunit 2,[],[]
