A8MVM1	CASP3	Caspase-3	-	
A8MXV4	NUDT19	Nucleoside diphosphate-linked moiety X motif 19	390916	Erythroleukemia
A8MZH8	PTTG1IP	Pituitary tumor-transforming gene 1 protein-interacting protein	-	
A9YTQ3	AHRR	Aryl hydrocarbon receptor repressor	57491	Brain
B1AKI6	MBNL3	Muscleblind-like protein 3	-	
B2RTY4	MYO9A	Unconventional myosin-IXa	4649	Placenta, Brain, Testis, Ovary, Placenta, Cervix carcinoma, Cervix carcinoma, Erythroleukemia, Liver
B2RXF5	ZBTB42	Zinc finger and BTB domain-containing protein 42	100128927	Brain, Brain cortex
B3KRH5	-	cDNA FLJ34267 fis, clone FEBRA2002707, highly similar to Zinc finger protein 585B	-	Brain
B3KS98	EIF3H	Eukaryotic translation initiation factor 3 subunit H	-	Testis
B3KSB0	NCBP2	Nuclear cap-binding protein subunit 2	22916	Testis
B3KTC7	MRE11	Double-strand break repair protein MRE11	4361	Tongue, Brain, Cervix carcinoma, Cervix carcinoma, Cervix carcinoma, Leukemic T-cell, Cervix carcinoma, Erythroleukemia, Liver
B3KUS5	USP30	Ubiquitin carboxyl-terminal hydrolase 30	84749	Testis
B4DF73	-	cDNA FLJ57349	-	Cerebellum
B4DFY1	-	cDNA FLJ53730, highly similar to Clusterin-associated protein 1	-	Amygdala
B4DGD8	GAPVD1	GTPase-activating protein and VPS9 domain-containing protein 1	26130	Amygdala
B4DGP8	CANX	Calnexin	821	Lymph, Placenta, Keratinocyte, Fibroblast, Brain, Cerebellum, Trachea, Placenta, B-cell lymphoma, Keratinocyte, Melanoma, Cervix carcinoma, Melanoma, Platelet, Cervix carcinoma, Cervix carcinoma, Liver, Leukemic T-cell, Cervix carcinoma, Cervix carcinoma, Erythroleukemia, Liver
B4DL80	-	cDNA FLJ57525, highly similar to Cell division cycle protein 27 homolog	996	Tongue
B4DMV3	IAH1	Isoamyl acetate-hydrolyzing esterase 1 homolog	285148	Brain, Small intestine, Brain, Liver
B4DN60	-	cDNA FLJ52703, highly similar to Asparaginyl-tRNA synthetase, cytoplasmic (EC6.1.1.22)	-	
B4DPZ9	DNM1L	Dynamin-1-like protein	-	
B4DRE9	-	cDNA FLJ57423, highly similar to Ribonucleoprotein PTB-binding 2	-	
B4DS49	-	cDNA FLJ60845, highly similar to Telomere-associated protein RIF1	-	Brain
B4DSD4	-	cDNA FLJ58856	-	Brain
B4DTW6	KBTBD8	Kelch repeat and BTB domain-containing protein 8	84541	Fetal brain, Placenta, T-cell, Lung, Brain
B4DUA0	LCP1	Plastin-2	3936	Amygdala, Prostate, Lymph, Placenta, T-cell, Lymphoblast, T-cell, Leukemic T-cell, Erythroleukemia, Liver
B4DUB1	-	cDNA FLJ50029, highly similar to Cell division cycle 2-like protein kinase 6	23097	Prostate
B4DUB9	-	cDNA FLJ58947, highly similar to Homo sapiens solute carrier family 35, member F2 (SLC35F2), mRNA	-	
B4DUD2	TMBIM1	Protein lifeguard 3	64114	
B4DVB8	ELAVL1	ELAV-like protein 1	1994	Small intestine, Cervix, Lymphoblast, Cervix carcinoma, Cervix carcinoma, Cervix carcinoma, Cervix carcinoma, Leukemic T-cell, Cervix carcinoma, Cervix carcinoma, Erythroleukemia, Colon carcinoma
B4DWY8	RBSN	Rabenosyn-5	64145	Cervix carcinoma, Brain, Testis, Brain, Cervix carcinoma, Cervix carcinoma, Erythroleukemia, Liver
B4DZD6	CRY2	Cryptochrome-2	1408	Fetal brain, Brain, Testis, Testis, Brain
B4E283	API5	Apoptosis inhibitor 5	8539	Liver, Brain, Trachea, Lymph, Ovarian carcinoma, Cervix carcinoma, Cervix carcinoma, Cervix carcinoma, Erythroleukemia, Liver, Colon carcinoma
B4E2F0	NUP43	Nucleoporin Nup43	348995	Ovarian carcinoma, Trachea, Testis
B4E2Q8	ZNF561	Zinc finger protein 561	93134	Trachea, Colon, Skin
B4E3F4	ITGA5	cDNA FLJ50382, moderately similar to Integrin alpha-5	-	Uterus
B5MCJ1	TTC32	Tetratricopeptide repeat protein 32	-	
B5MCN0	ATL2	Atlastin-2	64225	
B5MCU4	LDAH	Lipid droplet-associated hydrolase	-	
B6ZDM2	PCNX4	Pecanex-like protein 4	64430	
B7Z2A7	-	cDNA FLJ53837, moderately similar to Homo sapiens acyl-Coenzyme A binding domain containing 5 (ACBD5), mRNA	91452	Amygdala
B7Z4N8	USP14	Ubiquitin carboxyl-terminal hydrolase 14	9097	Placenta, Brain, Skin, T-cell, T-cell, Cervix carcinoma, Leukemic T-cell, Cervix carcinoma, Cervix carcinoma, Erythroleukemia, Liver
B7Z5P9	ZNF227	Zinc finger protein 227	7770	Testis
B8ZZB7	SAMD12	Sterile alpha motif domain-containing protein 12	-	
B8ZZT4	VAMP8	Vesicle-associated membrane protein 8	8673	
B9ZVQ3	MBTPS2	Membrane-bound transcription factor site-2 protease	-	
C1IDX9	ATG12	Ubiquitin-like protein ATG12	-	Testis, Testis
C9IZZ2	NDUFB2	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial	-	
C9J082	NPHP1	Nephrocystin-1	-	
C9J0V9	ZNF655	Zinc finger protein 655	-	
C9J4Z0	SLC22A23	Solute carrier family 22 member 23	-	
C9J590	REPIN1	Replication initiator 1	-	
C9J7E8	MKLN1	Muskelin	-	
C9J973	NHLRC3	NHL repeat-containing protein 3	-	
C9JAM5	TBC1D23	TBC1 domain family member 23	-	
C9JBW0	USF3	Basic helix-loop-helix domain-containing protein USF3	-	
C9JHF6	ZNF138	Zinc finger protein 138	7697	
C9JI46	LCORL	Ligand-dependent nuclear receptor corepressor-like protein	-	
C9JLC0	FBXO45	F-box/SPRY domain-containing protein 1	-	
C9JQV6	ATXN3	Ataxin-3	4287	
C9JSP0	DONSON	Protein downstream neighbor of Son	-	
C9JTA6	SMARCB1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1	-	
C9JYI0	MKRN1	E3 ubiquitin-protein ligase makorin-1	-	
C9JZR2	CTNND1	Catenin delta-1	-	
C9K074	CBLL1	E3 ubiquitin-protein ligase Hakai	-	
D3YTD3	PEX13	Peroxisomal membrane protein PEX13	-	
D4A599	Dnah17	Dynein, axonemal, heavy chain 17	-	
E2PSN0	RBM26	RNA-binding protein 26	-	
E2QRN4	ZNF326	DBIRD complex subunit ZNF326	-	
E2QRN5	SMYD5	SET and MYND domain-containing protein 5	-	
E5KLK1	OPA1	Dynamin-like 120 kDa protein, mitochondrial	4976	Brain, Brain, Liver
E5KNQ5	TK2	Thymidine kinase 2, mitochondrial	7084	Liver, Brain, Brain, Testis
E5RFX3	WDR6	WD repeat-containing protein 6	-	
E7EMB1	SWAP70	Switch-associated protein 70	23075	
E7EMK3	FLOT2	Flotillin-2	-	
E7EMS3	ST7	Suppressor of tumorigenicity 7 protein	-	
E7EN19	MAP4K4	Mitogen-activated protein kinase kinase kinase kinase 4	-	
E7EPP6	CHEK1	Serine/threonine-protein kinase Chk1	1111	
E7EPP7	STXBP4	Syntaxin-binding protein 4	-	
E7EPZ8	SLC7A6	Y+L amino acid transporter 2	-	
E7ER02	EIF2AK3	Eukaryotic translation initiation factor 2-alpha kinase 3	9451	
E7ERI8	CLASP2	CLIP-associating protein 2	23122	
E7ERR3	HECTD2	Probable E3 ubiquitin-protein ligase HECTD2	-	
E7EST6	PKP4	Plakophilin-4	-	
E7ETD6	BPTF	Nucleosome-remodeling factor subunit BPTF	-	
E7EV44	ZNF268	Zinc finger protein 268	-	
E7EVK2	MTG1	Mitochondrial GTPase 1	-	
E7EWR4	CSTF2	Cleavage stimulation factor subunit 2	1478	
E9PAP3	CFLAR	CASP8 and FADD-like apoptosis regulator	8837	
E9PBH4	EIF4A2	Eukaryotic initiation factor 4A-II	-	
E9PC44	SEC24D	cDNA FLJ43974 fis, clone TESTI4018101, highly similar to Protein transport protein Sec24D	-	Testis
E9PC53	SETD6	N-lysine methyltransferase SETD6	-	
E9PCS8	MTA3	Metastasis-associated protein MTA3	-	
E9PCW1	GOSR1	Golgi SNAP receptor complex member 1	9527	
E9PD56	PXK	PX domain-containing protein kinase-like protein	54899	
E9PDX4	SRGAP2	SLIT-ROBO Rho GTPase-activating protein 2	-	
E9PE85	COMMD1	COMM domain-containing protein 1	-	
E9PFF2	TKT	Transketolase	-	
E9PFF5	FXR1	Fragile X mental retardation syndrome-related protein 1	-	
E9PFZ1	C3orf38	Uncharacterized protein C3orf38	-	
E9PG19	FCHSD2	F-BAR and double SH3 domains protein 2	-	
E9PGT3	RPS6KA1	Ribosomal protein S6 kinase	-	
E9PHJ1	PKP4	Plakophilin-4	-	
E9PHV6	SP100	Nuclear autoantigen Sp-100	-	
E9PLF6	PRMT3	Protein arginine N-methyltransferase 3	-	
E9PSG1	CAST	Calpastatin	-	
E9Q3C1	C2cd2	C2 domain-containing protein 2	207781	Brain, Liver, Spleen, Liver, Brain, Kidney, Liver, Lung, Pancreas, Spleen
F2Z2C9	CCNT2	Cyclin-T2	-	
F2Z2J0	SETD5	SET domain-containing protein 5	-	
F2Z2K2	ATF2	Cyclic AMP-dependent transcription factor ATF-2	-	
F2Z2K6	CCDC66	Coiled-coil domain-containing protein 66	-	
F2Z2P2	DUSP18	Dual-specificity protein phosphatase 18	150290	
F2Z2W4	ASCC2	Activating signal cointegrator 1 complex subunit 2	-	
F2Z2X4	XPO4	Exportin-4	-	
F2Z316	XPNPEP3	Xaa-Pro aminopeptidase 3	-	
F2Z3A1	REV3L	DNA polymerase zeta catalytic subunit	-	
F2Z3E8	ATIC	Bifunctional purine biosynthesis protein PURH	-	
F2Z3F0	VPS50	Syndetin	-	
F2Z3G4	KPNA1	Importin subunit alpha-5	-	
F2Z3M5	JPT1	Jupiter microtubule-associated homolog 1	-	
F2Z3P3	PCGF3	Polycomb group RING finger protein 3	-	
F5GWN5	PIK3C2B	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta	-	
F5GX24	G2E3	G2/M phase-specific E3 ubiquitin-protein ligase	55632	
F5GZM6	ZNF701	Zinc finger protein 701	55762	Teratocarcinoma, Lymphoma, Testis
F5H4V6	RAD51AP1	RAD51-associated protein 1	-	
F5H644	ZNF140	Zinc finger protein 140	-	
F5H8H2	MVK	Mevalonate kinase	4598	
F5H8K1	VPS45	Vacuolar protein sorting-associated protein 45	11311	Brain, Leukocyte, Hematopoietic stem cell, Gastric mucosa, Colon, Hippocampus, Erythroleukemia, Liver
F5HIN0	ORF56	DNA primase	4961445	
F6RAJ7	CDPF1	Cysteine-rich DPF motif domain-containing protein 1	-	
F6VXT0	FOXJ3	Forkhead box protein J3	-	
F8VNS3	OXSM	3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial	-	
F8VWT6	FGD6	FYVE, RhoGEF and PH domain-containing protein 6	-	
F8W6N5	TBRG1	Transforming growth factor beta regulator 1	-	
F8W7J2	ATG4A	Cysteine protease ATG4A	-	
F8W7X4	FAM126B	Protein FAM126B	-	
F8W7X8	TLK1	Serine/threonine-protein kinase tousled-like 1	-	
F8W7Y5	WDR48	WD repeat-containing protein 48	-	
F8W860	PI4KB	Phosphatidylinositol 4-kinase beta	-	
F8W898	POLR1B	DNA-directed RNA polymerase I subunit RPA2	84172	Spleen, Testis, Pancreas, Erythroleukemia
F8W8D4	UBA3	NEDD8-activating enzyme E1 catalytic subunit	9039	
F8W8F0	UBE2E2	Ubiquitin-conjugating enzyme E2 E2	-	
F8W8J6	PSMD13	26S proteasome non-ATPase regulatory subunit 13	-	
F8W8L1	PMS1	PMS1 protein homolog 1	-	
F8W8R6	KDM6A	Lysine-specific demethylase 6A	-	
F8W8T7	SDAD1	Protein SDA1	-	
F8W8W7	TGOLN2	Trans-Golgi network integral membrane protein 2	10618	Liver, Placenta, Fetal liver, Fetal thymus, Uterus, Liver, Cervix, Prostate, Cervix carcinoma, Liver, Cervix carcinoma, Cervix carcinoma, Liver
F8W9L6	LRMP	Lymphoid-restricted membrane protein	-	
F8W9L8	PHF20L1	PHD finger protein 20-like protein 1	-	
F8W9W0	EPHA5	Ephrin type-A receptor 5	2044	
F8W9X7	CCDC93	Coiled-coil domain-containing protein 93	-	
F8WA34	ACYP2	Acylphosphatase	-	
F8WA39	MTMR1	Myotubularin-related protein 1	8776	
F8WAF5	NABP1	SOSS complex subunit B2	-	
F8WAF9	ATG16L1	Autophagy-related protein 16-1	-	
F8WAK7	POLR1B	DNA-directed RNA polymerase I subunit RPA2	-	
F8WAL3	ZNF528	Zinc finger protein 528	-	
F8WAQ4	BTBD3	BTB/POZ domain-containing protein 3	-	
F8WAR8	TEX261	Protein TEX261	-	
F8WAU9	KMT2E	Inactive histone-lysine N-methyltransferase 2E	-	
F8WAW9	HUS1	Checkpoint protein HUS1	-	
F8WAY9	TFDP2	Transcription factor Dp-2	-	
F8WAZ6	PMPCB	Mitochondrial-processing peptidase subunit beta	-	
F8WAZ7	RAD18	E3 ubiquitin-protein ligase RAD18	-	
F8WB19	SLC35F6	Solute carrier family 35 member F6	-	
F8WB27	SEC63	Translocation protein SEC63 homolog	-	
F8WB65	SEPT2	Septin-2	-	
F8WB69	UBXN7	UBX domain-containing protein 7	-	
F8WB86	UBXN4	UBX domain-containing protein 4	-	
F8WBD4	ZKSCAN5	Zinc finger protein with KRAB and SCAN domains 5	-	
F8WBF3	OXNAD1	Oxidoreductase NAD-binding domain-containing protein 1	-	
F8WBF6	XYLB	Xylulose kinase	-	
F8WBF9	NDRG3	Protein NDRG3	-	
F8WBG4	GNAI2	Guanine nucleotide-binding protein G(i) subunit alpha-2	-	
F8WBH0	ATL2	Atlastin-2	-	
F8WBI5	NIPSNAP2	Protein NipSnap homolog 2	-	
F8WBJ7	TMEM245	Transmembrane protein 245	-	
F8WBQ6	ABHD10	Mycophenolic acid acyl-glucuronide esterase, mitochondrial	-	
F8WBS5	RPL35A	60S ribosomal protein L35a	-	
F8WBT3	MTMR14	Myotubularin-related protein 14	-	
F8WBU5	RNF181	E3 ubiquitin-protein ligase RNF181	-	
F8WBW1	COMMD2	COMM domain-containing protein 2	-	
F8WBX0	SCRN3	Secernin-3	-	
F8WC41	COMMD2	COMM domain-containing protein 2	-	
F8WC68	DXO	Decapping and exoribonuclease protein	-	
F8WCA6	THOC7	Ngg1 interacting factor 3 like 1 binding protein 1, isoform CRA_b	80145	
F8WCF2	EIF4G1	Eukaryotic translation initiation factor 4 gamma 1	-	
F8WCF4	SIRT2	NAD-dependent protein deacetylase sirtuin-2	-	
F8WCI9	EAF2	ELL-associated factor 2	-	
F8WCK4	GARS	Glycine--tRNA ligase	-	
F8WCQ2	SACM1L	Phosphatidylinositide phosphatase SAC1	-	
F8WCQ5	LGALS1	Galectin-1	-	
F8WCR0	REV1	DNA repair protein REV1	-	
F8WCS5	PREB	Prolactin regulatory element-binding protein	-	
F8WCV1	HJURP	Holliday junction recognition protein	-	
F8WCZ8	FAM161A	Protein FAM161A	-	
F8WD15	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	-	
F8WD17	ATL2	Atlastin-2	-	
F8WD32	RAPGEF5	Rap guanine nucleotide exchange factor 5	-	
F8WD57	PUM2	Pumilio homolog 2	-	
F8WD60	RNF168	E3 ubiquitin-protein ligase RNF168	-	
F8WD95	MBOAT7	Lysophospholipid acyltransferase 7	-	
F8WDA0	XRN1	5'-3' exoribonuclease 1	-	
F8WDC9	RFC2	Replication factor C subunit 2	-	
F8WDD2	NDUFB5	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial	-	
F8WDF3	PDCD10	Programmed cell death protein 10	-	
F8WDH7	FAM107B	Protein FAM107B	-	
F8WDI0	ATG3	Ubiquitin-like-conjugating enzyme ATG3	-	
F8WDI2	ACOT9	Acyl-coenzyme A thioesterase 9, mitochondrial	-	
F8WDJ3	ATP6V1A	V-type proton ATPase catalytic subunit A	-	
F8WDJ8	PIK3CB	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform	-	
F8WDK1	KDM5C	Lysine-specific demethylase 5C	-	
F8WDL9	NUB1	NEDD8 ultimate buster 1	-	
F8WDM3	MCM2	DNA replication licensing factor MCM2	-	
F8WDM8	COL24A1	Collagen alpha-1(XXIV) chain	255631	
F8WDN7	SACM1L	Phosphatidylinositide phosphatase SAC1	-	
F8WDQ2	ASZ1	Ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1	-	
F8WDU0	TAF1B	TATA box-binding protein-associated factor RNA polymerase I subunit B	-	
F8WDU7	HMGXB4	HMG domain-containing protein 4	-	
F8WDV0	IPO11	Importin-11	-	
F8WDW0	LMBR1	Limb region 1 protein homolog	-	
F8WDW3	ARPC4	Actin-related protein 2/3 complex subunit 4	-	
F8WDY5	DLD	Dihydrolipoyl dehydrogenase, mitochondrial	-	
F8WDY8	-	Uncharacterized protein	-	
F8WE20	WDR75	WD repeat-containing protein 75	-	
F8WE49	RAD18	E3 ubiquitin-protein ligase RAD18	-	
F8WE98	FLNA	Filamin-A	-	
F8WEB1	ZNF655	Zinc finger protein 655	-	
F8WEC0	MMADHC	Methylmalonic aciduria and homocystinuria type D protein, mitochondrial	-	
F8WED3	CAPZA2	F-actin-capping protein subunit alpha-2	-	
F8WED5	MITD1	MIT domain-containing protein 1	-	
F8WEJ7	TAF6	Transcription initiation factor TFIID subunit 6	-	
F8WEJ9	SMYD5	SET and MYND domain-containing protein 5	-	
F8WEL4	NUP35	Nucleoporin NUP35	-	
F8WEP8	UBP1	Upstream-binding protein 1	-	
F8WEQ1	EMD	Emerin	-	
F8WES4	DOCK4	Dedicator of cytokinesis protein 4	-	
F8WEU3	LUC7L2	Putative RNA-binding protein Luc7-like 2	-	
F8WEW1	HAT1	Histone acetyltransferase type B catalytic subunit	-	
F8WEZ0	PIKFYVE	1-phosphatidylinositol 3-phosphate 5-kinase	-	
F8WF11	IFNGR2	Interferon gamma receptor 2	-	
F8WF18	EIF2A	Eukaryotic translation initiation factor 2A	-	
F8WF22	THOC7	THO complex subunit 7 homolog	-	
F8WF30	IPO5	Importin-5	-	
F8WF45	TMF1	TATA element modulatory factor	-	
F8WF61	CYTIP	Cytohesin-interacting protein	-	
F8WF71	XPO1	Exportin-1	-	
F8WF79	GORASP2	Golgi reassembly-stacking protein 2	-	
F8WF89	MTHFD2	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial	-	
F8WF91	CEP97	Centrosomal protein of 97 kDa	-	
F8WF99	CLEC2D	C-type lectin domain family 2 member D	-	
F8WFE0	C7orf43	Uncharacterized protein C7orf43	-	
G3V0E5	TFRC	Transferrin receptor (P90, CD71), isoform CRA_c	7037	
G3V0H0	ORC5	Origin recognition complex subunit 5	-	
G3V1Q4	SEPT7	Septin-7	989	
G3V1S3	DENND5B	DENN domain-containing protein 5B	160518	
G3XAL2	EZH2	Enhancer of zeste homolog 2 (Drosophila), isoform CRA_b	-	
G3XAP1	COPS7A	COP9 constitutive photomorphogenic homolog subunit 7A (Arabidopsis), isoform CRA_b	-	
G5E9B7	CYTH2	Pleckstrin homology, Sec7 and coiled-coil domains 2 (Cytohesin-2), isoform CRA_c	-	
G5E9B8	ZNF180	Zinc finger protein 180	7733	
G5E9R9	RO60	Ro60, Y RNA-binding protein	6738	
G5E9S7	ARPC2	Actin related protein 2/3 complex, subunit 2, 34kDa, isoform CRA_e	-	
G5E9X3	FNDC3A	Fibronectin type III domain containing 3A, isoform CRA_f	-	
G8JL90	FMR1	Synaptic functional regulator FMR1	2332	Fetal brain, Fetal brain, Liver, Fetal brain, Placenta, Cervix carcinoma, Cervix carcinoma, Liver
G8JLB2	XPNPEP1	Xaa-Pro aminopeptidase 1	7511	Lymphocyte, Pancreatic adenocarcinoma, Adipose tissue, Colon, Ovary, Placenta, Platelet, Liver
G8JLC2	PSMB5	Proteasome subunit beta type-5	-	
H0UI06	COX7A2	Cytochrome c oxidase subunit 7A2, mitochondrial	1347	Peripheral blood
H0Y340	COP1	E3 ubiquitin-protein ligase COP1	-	
H0Y359	UBE3D	E3 ubiquitin-protein ligase E3D	-	
H0Y3Q9	FAM214A	Protein FAM214A	-	
H0Y3T0	ATRX	Transcriptional regulator ATRX	-	
H0Y3V9	RPL36A-HNRNPH2	RPL36A-HNRNPH2 readthrough	-	
H0Y498	EDEM3	ER degradation-enhancing alpha-mannosidase-like protein 3	-	
H0Y4J1	BNC2	Zinc finger protein basonuclin-2	-	
H0Y512	APMAP	Adipocyte plasma membrane-associated protein	-	
H0Y5D9	RC3H2	Roquin-2	-	
H0Y5H5	GPATCH3	G patch domain-containing protein 3	-	
H0Y5X7	CNOT3	CCR4-NOT transcription complex subunit 3	-	
H0Y696	ALS2	Alsin	-	
H0Y6F8	HLA-DPA1	HLA class II histocompatibility antigen, DP alpha 1 chain	-	
H0Y6I9	RBM39	RNA-binding protein 39	-	
H0Y7B4	BRPF3	Bromodomain and PHD finger-containing protein 3	-	
H0Y7C6	MARCH8	E3 ubiquitin-protein ligase MARCH8	220972	Testis, Testis, Erythroleukemia
H0Y8D9	U2SURP	U2 snRNP-associated SURP motif-containing protein	-	
H0YQV0	PLPPR1	Phospholipid phosphatase related 1	-	
H3BLV3	BTBD7	BTB/POZ domain-containing protein 7	-	
H3BLZ8	DDX17	Probable ATP-dependent RNA helicase DDX17	10521	Amygdala, Skin, Cervix carcinoma, Cervix carcinoma, Embryonic kidney, Cervix carcinoma, Cervix carcinoma, Cervix carcinoma, Erythroleukemia, Liver, Colon carcinoma
H3BT15	IL16	Pro-interleukin-16	-	
H3BUI7	UBE2F-SCLY	UBE2F-SCLY readthrough (NMD candidate)	-	
H7BXF6	PNPT1	Polyribonucleotide nucleotidyltransferase 1, mitochondrial	-	
H7BXM8	ARMC10	Armadillo repeat-containing protein 10	-	
H7BXS3	PIP4K2A	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha	-	
H7BXZ7	PRPF40A	Pre-mRNA-processing factor 40 homolog A	-	
H7BY37	KMT2C	Histone-lysine N-methyltransferase 2C	-	
H7BY40	CRCP	DNA-directed RNA polymerase III subunit RPC9	-	
H7BYF7	KDELR2	ER lumen protein-retaining receptor 2	-	
H7BYU9	C20orf27	UPF0687 protein C20orf27	-	
H7BYZ3	-	Uncharacterized protein	-	
H7BZ74	FYCO1	FYVE and coiled-coil domain-containing protein 1	-	
H7BZ93	SETD2	Histone-lysine N-methyltransferase SETD2	-	
H7BZC2	SYNJ1	Synaptojanin-1	-	
H7C0F1	CAPN7	Calpain-7	-	
H7C0M7	METTL5	Methyltransferase-like protein 5	-	
H7C0R3	QARS	Glutamine--tRNA ligase	-	
H7C133	EIF3L	Eukaryotic translation initiation factor 3 subunit L	-	
H7C142	BNIP2	BCL2/adenovirus E1B 19 kDa protein-interacting protein 2	-	
H7C167	ANLN	Anillin	-	
H7C1H3	DCAF17	DDB1- and CUL4-associated factor 17	-	
H7C1H4	OPTN	Optineurin	-	
H7C1Q2	SETD5	SET domain-containing protein 5	-	
H7C1Y4	LMBR1	Limb region 1 protein homolog	-	
H7C207	R3HDM1	R3H domain-containing protein 1	-	
H7C250	NDUFAF6	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6	-	
H7C2E8	TRMT61B	tRNA (adenine(58)-N(1))-methyltransferase, mitochondrial	-	
H7C2R0	SHISA5	Protein shisa-5	-	
H7C3A0	EIF3L	Eukaryotic translation initiation factor 3 subunit L	-	
H7C3A3	TTC27	Tetratricopeptide repeat protein 27	-	
H7C3C4	SLC4A7	Anion exchange protein	-	
H7C3S0	CRYZL1	Quinone oxidoreductase-like protein 1	-	
H7C434	FEZ2	Fasciculation and elongation protein zeta-2	-	
H7C4T7	LIN9	Protein lin-9 homolog	-	
H7C4V4	NOS3	Nitric oxide synthase, endothelial	-	
H7C4Y5	CEP97	Centrosomal protein of 97 kDa	-	
H7C4Z7	WWTR1	WW domain-containing transcription regulator protein 1	-	
H7C560	BRAF	Serine/threonine-protein kinase B-raf	-	
H7C5C3	PIK3CB	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform	-	
H7C5C4	KMT2E	Inactive histone-lysine N-methyltransferase 2E	-	
H7C5P7	TMEM39A	Transmembrane protein 39A	-	
H7C5R6	ARID4B	AT-rich interactive domain-containing protein 4B	-	
H7C5T1	IMPDH1	Inosine-5'-monophosphate dehydrogenase 1	-	
